lokasi,wilayah,wilayah_encoded
cidadap,utara,1
coblong,utara,1
sukajadi,utara,1
sukasari,utara,1
cibeunying kaler,utara,1
andir,tengah,2
astanaanyar,tengah,2
cicendo,tengah,2
sumur bandung,tengah,2
bandung wetan,tengah,2
regol,tengah,2
lengkong,tengah,2
bandung kulon,barat,3
bojongloa kaler,barat,3
bojongloa kidul,barat,3
babakan ciparay,barat,3
bandung kidul,selatan,4
batununggal,selatan,4
buah batu,selatan,4
kiaracondong,selatan,4
cibeunying kidul,selatan,4
antapani,timur,5
arcamanik,timur,5
cibiru,timur,5
gedebage,timur,5
mandalajati,timur,5
panyileukan,timur,5
rancasari,timur,5
ujung berung,timur,5
cinambo,timur,5
